Experiment,Model,Threshold,Precision,Recall,F1-Score,TP,FP,FN,TN,FPR
C3-A: Real + Synth 1:1,Random Forest,0.7,0.1,0.0025,0.004878048780487805,1,9,399,7767,0.0011574074074074073
C3-A: Real + Synth 1:1,Random Forest,0.75,0.0,0.0,0.0,0,3,400,7773,0.00038580246913580245
C3-A: Real + Synth 1:1,Random Forest,0.8,0.0,0.0,0.0,0,1,400,7775,0.0001286008230452675
C3-A: Real + Synth 1:1,Random Forest,0.85,0.0,0.0,0.0,0,0,400,7776,0.0
C3-A: Real + Synth 1:1,Random Forest,0.9,0.0,0.0,0.0,0,0,400,7776,0.0
C3-A: Real + Synth 1:1,Logistic Regression,0.1,0.04892367906066536,1.0,0.09328358208955224,400,7776,0,0,1.0
C3-A: Real + Synth 1:1,Logistic Regression,0.15,0.050563933595235075,0.9975,0.09624894463876492,399,7492,1,284,0.963477366255144
C3-A: Real + Synth 1:1,Logistic Regression,0.2,0.05349959774738536,0.9975,0.10155255790277425,399,7059,1,717,0.9077932098765432
C3-A: Real + Synth 1:1,Logistic Regression,0.25,0.05608146873207114,0.9775,0.10607704829083017,391,6581,9,1195,0.8463220164609053
C3-A: Real + Synth 1:1,Logistic Regression,0.3,0.05855429292929293,0.9275,0.11015439429928742,371,5965,29,1811,0.7671039094650206
C3-A: Real + Synth 1:1,Logistic Regression,0.35,0.06314478833155461,0.8875,0.11790102955828628,355,5267,45,2509,0.6773405349794238
C3-A: Real + Synth 1:1,Logistic Regression,0.4,0.0691797845898923,0.835,0.12777352716143842,334,4494,66,3282,0.5779320987654321
C3-A: Real + Synth 1:1,Logistic Regression,0.45,0.07458975634012929,0.75,0.13568521031207598,300,3722,100,4054,0.4786522633744856
C3-A: Real + Synth 1:1,Logistic Regression,0.5,0.07894736842105263,0.6375,0.14049586776859505,255,2975,145,4801,0.3825874485596708
C3-A: Real + Synth 1:1,Logistic Regression,0.55,0.08634538152610442,0.5375,0.14878892733564014,215,2275,185,5501,0.2925668724279835
C3-A: Real + Synth 1:1,Logistic Regression,0.6,0.09090909090909091,0.4,0.14814814814814814,160,1600,240,6176,0.205761316872428
C3-A: Real + Synth 1:1,Logistic Regression,0.65,0.0967741935483871,0.27,0.1424802110817942,108,1008,292,6768,0.12962962962962962
C3-A: Real + Synth 1:1,Logistic Regression,0.7,0.1118421052631579,0.17,0.1349206349206349,68,540,332,7236,0.06944444444444445
C3-A: Real + Synth 1:1,Logistic Regression,0.75,0.12582781456953643,0.095,0.10826210826210826,38,264,362,7512,0.033950617283950615
C3-A: Real + Synth 1:1,Logistic Regression,0.8,0.08653846153846154,0.0225,0.03571428571428571,9,95,391,7681,0.012217078189300411
C3-A: Real + Synth 1:1,Logistic Regression,0.85,0.05555555555555555,0.0025,0.004784688995215311,1,17,399,7759,0.0021862139917695473
C3-A: Real + Synth 1:1,Logistic Regression,0.9,0.0,0.0,0.0,0,0,400,7776,0.0
C3-A: Real + Synth 1:1,XGBoost,0.1,0.08061094611794654,0.475,0.1378309756982227,190,2167,210,5609,0.2786779835390947
C3-A: Real + Synth 1:1,XGBoost,0.15,0.08579387186629527,0.385,0.14031890660592256,154,1641,246,6135,0.21103395061728394
C3-A: Real + Synth 1:1,XGBoost,0.2,0.08842105263157894,0.315,0.13808219178082193,126,1299,274,6477,0.16705246913580246
C3-A: Real + Synth 1:1,XGBoost,0.25,0.09903593339176162,0.2825,0.14665801427644387,113,1028,287,6748,0.13220164609053497
C3-A: Real + Synth 1:1,XGBoost,0.3,0.09968520461699895,0.2375,0.14042867701404288,95,858,305,6918,0.11033950617283951
C3-A: Real + Synth 1:1,XGBoost,0.35,0.10371318822023047,0.2025,0.1371718882303133,81,700,319,7076,0.09002057613168725
C3-A: Real + Synth 1:1,XGBoost,0.4,0.1057542768273717,0.17,0.13039309683604985,68,575,332,7201,0.0739454732510288
C3-A: Real + Synth 1:1,XGBoost,0.45,0.11302681992337164,0.1475,0.1279826464208243,59,463,341,7313,0.05954218106995885
C3-A: Real + Synth 1:1,XGBoost,0.5,0.10930232558139535,0.1175,0.11325301204819277,47,383,353,7393,0.04925411522633745
C3-A: Real + Synth 1:1,XGBoost,0.55,0.11048158640226628,0.0975,0.10358565737051793,39,314,361,7462,0.04038065843621399
C3-A: Real + Synth 1:1,XGBoost,0.6,0.11458333333333333,0.0825,0.09593023255813954,33,255,367,7521,0.03279320987654321
C3-A: Real + Synth 1:1,XGBoost,0.65,0.11764705882352941,0.065,0.08373590982286634,26,195,374,7581,0.02507716049382716
C3-A: Real + Synth 1:1,XGBoost,0.7,0.147239263803681,0.06,0.0852575488454707,24,139,376,7637,0.01787551440329218
C3-A: Real + Synth 1:1,XGBoost,0.75,0.17391304347826086,0.05,0.07766990291262135,20,95,380,7681,0.012217078189300411
C3-A: Real + Synth 1:1,XGBoost,0.8,0.1506849315068493,0.0275,0.046511627906976744,11,62,389,7714,0.007973251028806584
C3-A: Real + Synth 1:1,XGBoost,0.85,0.15555555555555556,0.0175,0.03146067415730337,7,38,393,7738,0.004886831275720165
C3-A: Real + Synth 1:1,XGBoost,0.9,0.05,0.0025,0.004761904761904762,1,19,399,7757,0.0024434156378600825
C3-A: Real + Synth 1:1,LightGBM,0.1,0.06806406029203957,0.7225,0.12440809298321137,289,3957,111,3819,0.5088734567901234
C3-A: Real + Synth 1:1,LightGBM,0.15,0.0739766081871345,0.6325,0.1324607329842932,253,3167,147,4609,0.40727880658436216
C3-A: Real + Synth 1:1,LightGBM,0.2,0.07546494992846924,0.5275,0.1320400500625782,211,2585,189,5191,0.3324331275720165
C3-A: Real + Synth 1:1,LightGBM,0.25,0.08101045296167247,0.465,0.13798219584569732,186,2110,214,5666,0.2713477366255144
C3-A: Real + Synth 1:1,LightGBM,0.3,0.08853333333333334,0.415,0.14593406593406594,166,1709,234,6067,0.21977880658436214
C3-A: Real + Synth 1:1,LightGBM,0.35,0.09055374592833876,0.3475,0.14366925064599484,139,1396,261,6380,0.17952674897119342
C3-A: Real + Synth 1:1,LightGBM,0.4,0.09069400630914827,0.2875,0.13788968824940048,115,1153,285,6623,0.14827674897119342
C3-A: Real + Synth 1:1,LightGBM,0.45,0.09970674486803519,0.255,0.1433591004919185,102,921,298,6855,0.11844135802469136
C3-A: Real + Synth 1:1,LightGBM,0.5,0.1017156862745098,0.2075,0.13651315789473684,83,733,317,7043,0.09426440329218107
C3-A: Real + Synth 1:1,LightGBM,0.55,0.10361067503924647,0.165,0.12729026036644167,66,571,334,7205,0.07343106995884774
C3-A: Real + Synth 1:1,LightGBM,0.6,0.10638297872340426,0.125,0.11494252873563218,50,420,350,7356,0.05401234567901234
C3-A: Real + Synth 1:1,LightGBM,0.65,0.11239193083573487,0.0975,0.10441767068273092,39,308,361,7468,0.03960905349794239
C3-A: Real + Synth 1:1,LightGBM,0.7,0.12598425196850394,0.08,0.09785932721712538,32,222,368,7554,0.02854938271604938
C3-A: Real + Synth 1:1,LightGBM,0.75,0.13664596273291926,0.055,0.0784313725490196,22,139,378,7637,0.01787551440329218
C3-A: Real + Synth 1:1,LightGBM,0.8,0.16666666666666666,0.0325,0.05439330543933055,13,65,387,7711,0.008359053497942387
C3-A: Real + Synth 1:1,LightGBM,0.85,0.1724137931034483,0.0125,0.023310023310023312,5,24,395,7752,0.0030864197530864196
C3-A: Real + Synth 1:1,LightGBM,0.9,0.16666666666666666,0.0025,0.0049261083743842365,1,5,399,7771,0.0006430041152263374
C3-A: Real + Synth 1:1,CatBoost,0.1,0.06464110929853181,0.7925,0.11953242835595777,317,4587,83,3189,0.589891975308642
C3-A: Real + Synth 1:1,CatBoost,0.15,0.07087789107187267,0.7125,0.1289301063107894,285,3736,115,4040,0.48045267489711935
C3-A: Real + Synth 1:1,CatBoost,0.2,0.0750303766707169,0.6175,0.13380281690140844,247,3045,153,4731,0.3915895061728395
C3-A: Real + Synth 1:1,CatBoost,0.25,0.0795539033457249,0.535,0.13851132686084142,214,2476,186,5300,0.3184156378600823
C3-A: Real + Synth 1:1,CatBoost,0.3,0.08944213923467036,0.485,0.15103152977812379,194,1975,206,5801,0.2539866255144033
C3-A: Real + Synth 1:1,CatBoost,0.35,0.09380428488708743,0.405,0.152327221438646,162,1565,238,6211,0.20126028806584362
C3-A: Real + Synth 1:1,CatBoost,0.4,0.10143884892086331,0.3525,0.15754189944134078,141,1249,259,6527,0.1606224279835391
C3-A: Real + Synth 1:1,CatBoost,0.45,0.11017740429505135,0.295,0.16043507817811012,118,953,282,6823,0.12255658436213991
C3-A: Real + Synth 1:1,CatBoost,0.5,0.12242424242424242,0.2525,0.16489795918367348,101,724,299,7052,0.09310699588477367
C3-A: Real + Synth 1:1,CatBoost,0.55,0.130298273155416,0.2075,0.1600771456123433,83,554,317,7222,0.07124485596707819
C3-A: Real + Synth 1:1,CatBoost,0.6,0.1384297520661157,0.1675,0.1515837104072398,67,417,333,7359,0.053626543209876545
C3-A: Real + Synth 1:1,CatBoost,0.65,0.13496932515337423,0.11,0.12121212121212122,44,282,356,7494,0.036265432098765434
C3-A: Real + Synth 1:1,CatBoost,0.7,0.1414141414141414,0.07,0.09364548494983277,28,170,372,7606,0.021862139917695474
C3-A: Real + Synth 1:1,CatBoost,0.75,0.1693548387096774,0.0525,0.08015267175572519,21,103,379,7673,0.013245884773662552
C3-A: Real + Synth 1:1,CatBoost,0.8,0.140625,0.0225,0.03879310344827586,9,55,391,7721,0.007073045267489712
C3-A: Real + Synth 1:1,CatBoost,0.85,0.09523809523809523,0.005,0.009501187648456057,2,19,398,7757,0.0024434156378600825
C3-A: Real + Synth 1:1,CatBoost,0.9,0.0,0.0,0.0,0,3,400,7773,0.00038580246913580245
C3-B: Real + Synth 2:1,Random Forest,0.1,0.08693790149892934,0.6904761904761905,0.15443134271586154,203,2132,91,3706,0.36519355943816373
C3-B: Real + Synth 2:1,Random Forest,0.15,0.10484406104844061,0.5374149659863946,0.17545807884508607,158,1349,136,4489,0.23107228502911956
C3-B: Real + Synth 2:1,Random Forest,0.2,0.1221449851042701,0.41836734693877553,0.18908531898539585,123,884,171,4954,0.1514217197670435
C3-B: Real + Synth 2:1,Random Forest,0.25,0.13256484149855907,0.3129251700680272,0.1862348178137652,92,602,202,5236,0.10311750599520383
C3-B: Real + Synth 2:1,Random Forest,0.3,0.1490280777537797,0.23469387755102042,0.18229854689564068,69,394,225,5444,0.06748886605001712
C3-B: Real + Synth 2:1,Random Forest,0.35,0.16013071895424835,0.16666666666666666,0.16333333333333333,49,257,245,5581,0.044021925316889345
C3-B: Real + Synth 2:1,Random Forest,0.4,0.14285714285714285,0.09863945578231292,0.11670020120724346,29,174,265,5664,0.029804727646454265
C3-B: Real + Synth 2:1,Random Forest,0.45,0.14173228346456693,0.061224489795918366,0.0855106888361045,18,109,276,5729,0.01867077766358342
C3-B: Real + Synth 2:1,Random Forest,0.5,0.1282051282051282,0.034013605442176874,0.053763440860215055,10,68,284,5770,0.011647824597464886
C3-B: Real + Synth 2:1,Random Forest,0.55,0.061224489795918366,0.01020408163265306,0.01749271137026239,3,46,291,5792,0.0078794107571086
C3-B: Real + Synth 2:1,Random Forest,0.6,0.10714285714285714,0.01020408163265306,0.018633540372670808,3,25,291,5813,0.004282288454950325
C3-B: Real + Synth 2:1,Random Forest,0.65,0.16666666666666666,0.01020408163265306,0.019230769230769232,3,15,291,5823,0.0025693730729701952
C3-B: Real + Synth 2:1,Random Forest,0.7,0.2,0.003401360544217687,0.006688963210702341,1,4,293,5834,0.0006851661527920521
C3-B: Real + Synth 2:1,Random Forest,0.75,0.0,0.0,0.0,0,2,294,5836,0.00034258307639602604
C3-B: Real + Synth 2:1,Random Forest,0.8,0.0,0.0,0.0,0,1,294,5837,0.00017129153819801302
C3-B: Real + Synth 2:1,Random Forest,0.85,0.0,0.0,0.0,0,0,294,5838,0.0
C3-B: Real + Synth 2:1,Random Forest,0.9,0.0,0.0,0.0,0,0,294,5838,0.0
C3-B: Real + Synth 2:1,Logistic Regression,0.1,0.05039559683522532,0.9965986394557823,0.09593975114603798,293,5521,1,317,0.9457005823912299
C3-B: Real + Synth 2:1,Logistic Regression,0.15,0.054194506310319225,0.9931972789115646,0.10278071101724745,292,5096,2,742,0.8729016786570744
C3-B: Real + Synth 2:1,Logistic Regression,0.2,0.05660377358490566,0.9591836734693877,0.1068991660348749,282,4700,12,1138,0.8050702295306612
C3-B: Real + Synth 2:1,Logistic Regression,0.25,0.06020140105078809,0.935374149659864,0.11312217194570136,275,4293,19,1545,0.7353545734840699
C3-B: Real + Synth 2:1,Logistic Regression,0.3,0.06525444363282201,0.9115646258503401,0.12179050215860032,268,3839,26,1999,0.657588215142172
C3-B: Real + Synth 2:1,Logistic Regression,0.35,0.07125034654837815,0.8741496598639455,0.13176108690079466,257,3350,37,2488,0.5738266529633436
C3-B: Real + Synth 2:1,Logistic Regression,0.4,0.07731466751511296,0.826530612244898,0.14140238580157113,243,2900,51,2938,0.49674546077423776
C3-B: Real + Synth 2:1,Logistic Regression,0.45,0.08302446256486286,0.7619047619047619,0.1497326203208556,224,2474,70,3364,0.4237752655018842
C3-B: Real + Synth 2:1,Logistic Regression,0.5,0.09005795809184128,0.6870748299319728,0.15924320063066613,202,2041,92,3797,0.3496060294621446
C3-B: Real + Synth 2:1,Logistic Regression,0.55,0.09804983748645721,0.6156462585034014,0.1691588785046729,181,1665,113,4173,0.2852004110996917
