Experiment,Model,Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
C3-B: Real + Synth 2:1,XGBoost,5,0.9249592169657422,0.16326530612244897,0.13559322033898305,0.14814814814814814,0.6672330907876199,0.09564013671483865
C3-B: Real + Synth 2:1,LightGBM,1,0.8777506112469438,0.09734513274336283,0.1864406779661017,0.12790697674418605,0.6673438588344556,0.07832560524523723
C3-B: Real + Synth 2:1,LightGBM,2,0.8891605541972291,0.13333333333333333,0.23728813559322035,0.17073170731707318,0.739450313443232,0.12503228168282884
C3-B: Real + Synth 2:1,LightGBM,3,0.9086460032626428,0.18604651162790697,0.27586206896551724,0.2222222222222222,0.7679942135096836,0.12820524336412206
C3-B: Real + Synth 2:1,LightGBM,4,0.8841761827079935,0.11926605504587157,0.22033898305084745,0.15476190476190477,0.6738558958941513,0.08424349826184899
C3-B: Real + Synth 2:1,LightGBM,5,0.8931484502446982,0.1326530612244898,0.22033898305084745,0.16560509554140126,0.6655773895109872,0.09291063719226848
C3-B: Real + Synth 2:1,CatBoost,1,0.8801955990220048,0.13333333333333333,0.2711864406779661,0.1787709497206704,0.660784768980729,0.08405743433736076
C3-B: Real + Synth 2:1,CatBoost,2,0.8818255908720456,0.17424242424242425,0.3898305084745763,0.24083769633507854,0.774146737868586,0.15139282039478957
C3-B: Real + Synth 2:1,CatBoost,3,0.8947797716150081,0.1485148514851485,0.25862068965517243,0.18867924528301888,0.7199604393008976,0.1197854267363592
C3-B: Real + Synth 2:1,CatBoost,4,0.8825448613376835,0.13043478260869565,0.2542372881355932,0.1724137931034483,0.658242923329412,0.08756547712360044
C3-B: Real + Synth 2:1,CatBoost,5,0.8858075040783034,0.12149532710280374,0.22033898305084745,0.1566265060240964,0.68978838975789,0.12198376483427717
C3-C: Real + Synth 4:1,Random Forest,1,0.9452054794520548,0.16666666666666666,0.041666666666666664,0.06666666666666667,0.737519250513347,0.09807145713706236
C3-C: Real + Synth 4:1,Random Forest,2,0.9422700587084148,0.1875,0.061224489795918366,0.09230769230769231,0.8297187323027875,0.1639906144894021
C3-C: Real + Synth 4:1,Random Forest,3,0.9403131115459883,0.125,0.04081632653061224,0.06153846153846154,0.7808796694422887,0.1191690027027285
C3-C: Real + Synth 4:1,Random Forest,4,0.9403131115459883,0.16666666666666666,0.061224489795918366,0.08955223880597014,0.7510015311366067,0.13473039514379265
C3-C: Real + Synth 4:1,Random Forest,5,0.9383561643835616,0.1111111111111111,0.04081632653061224,0.05970149253731343,0.784298508714894,0.1270117238441581
C3-C: Real + Synth 4:1,Logistic Regression,1,0.7093933463796478,0.09967845659163987,0.6458333333333334,0.17270194986072424,0.7602455509924709,0.1211220631551215
C3-C: Real + Synth 4:1,Logistic Regression,2,0.6545988258317026,0.10621761658031088,0.8367346938775511,0.18850574712643678,0.8178157182708643,0.16566100108475934
C3-C: Real + Synth 4:1,Logistic Regression,3,0.6937377690802349,0.11403508771929824,0.7959183673469388,0.19948849104859334,0.7812362355013948,0.12865718166416112
C3-C: Real + Synth 4:1,Logistic Regression,4,0.700587084148728,0.09968847352024922,0.6530612244897959,0.17297297297297298,0.7236613041927974,0.08957289468645695
C3-C: Real + Synth 4:1,Logistic Regression,5,0.6692759295499021,0.10626702997275204,0.7959183673469388,0.1875,0.7788451454579776,0.12520990711767405
